example,plain_example,type,group_index,category_id,category_name,category_type,rule_id,rule_name,error_type
"<example correction=""response"">Thanks for the <marker>responds</marker>.</example>",Thanks for the responds.,single,,TYPOS,Possible Typo,misspelling,DT_RESPONDS,the/a responds (response),
"<example correction=""of"">It's the only part of KDE I know <marker>off</marker> that uses automasking.</example>",It's the only part of KDE I know off that uses automasking.,single,,TYPOS,Possible Typo,misspelling,THINK_OFF,think/know off (of),
"<example correction=""use"">Please do not <marker>us</marker> dispose.</example>",Please do not us dispose.,group,0,TYPOS,Possible Typo,misspelling,NOT_US1,not us (use),
"<example correction=""think|thinks"">I <marker>thing</marker> that's a good idea.</example>",I thing that's a good idea.,single,,TYPOS,Possible Typo,misspelling,YOU_THING,I/you/... thing (think),
<example><marker>We</marker> are in the process of implementing this.</example>,We are in the process of implementing this.,group,0,TYPOS,Possible Typo,misspelling,WERE_VBB,were (where/we),
"<example correction=""Where|We""><marker>Were</marker> are in the process of implementing this.</example>",Were are in the process of implementing this.,group,1,TYPOS,Possible Typo,misspelling,WERE_VBB,were (where/we),
<example>...which <marker>it</marker> was the last day.</example>,...which it was the last day.,single,,TYPOS,Possible Typo,misspelling,VBZ_VBD,it (is),
"<example correction=""for"">Thanks again <marker>fore</marker> your help.</example>",Thanks again fore your help.,single,,TYPOS,Possible Typo,misspelling,FORE_DPS,fore (for),
"<example correction=""at"">Although I must admit when I look <marker>ate</marker> the paperback...</example>",Although I must admit when I look ate the paperback...,single,,TYPOS,Possible Typo,misspelling,LOOK_ATE,look ate (at),
"<example correction=""known"">This is a <marker>know</marker> problem.</example>",This is a know problem.,single,,TYPOS,Possible Typo,misspelling,A_KNOW_BUG,a know (known) bug/problem,
"<example correction=""may be|might be"">Something that <marker>my be</marker> interesting...</example>",Something that my be interesting...,single,,TYPOS,Possible Typo,misspelling,MY_BE,my (may) be,
"<example correction=""it"">I definitely think <marker>is</marker> should be less than four years.</example>",I definitely think is should be less than four years.,single,,TYPOS,Possible Typo,misspelling,IS_SHOULD,is (it) should/could,
<example>You <marker>cannot</marker> use the keyboard to select an item.</example>,You cannot use the keyboard to select an item.,single,,TYPOS,Possible Typo,misspelling,CAN_NOT,can not (cannot),
"<example correction=""can't|cannot"">I <marker>cant</marker> view pdf files in Explorer.</example>",I cant view pdf files in Explorer.,single,,TYPOS,Possible Typo,misspelling,CANT,cant (can't),
<example>Go to <marker>hell</marker>!</example>,Go to hell!,group,0,TYPOS,Possible Typo,misspelling,HELL,"hell/shell (he'll, she'll)",
<example>Heaven and hell exist.</example>,Heaven and hell exist.,group,1,TYPOS,Possible Typo,misspelling,HELL,"hell/shell (he'll, she'll)",
<example>This is an egg <marker>shell</marker>.</example>,This is an egg shell.,group,2,TYPOS,Possible Typo,misspelling,HELL,"hell/shell (he'll, she'll)",
,,group,0,TYPOS,Possible Typo,misspelling,LETS_LET,let's (lets),
,,group,1,TYPOS,Possible Typo,misspelling,LETS_LET,let's (lets),
"<example correction=""Let's""><marker>Lets</marker> go home.</example>",Lets go home.,group,2,TYPOS,Possible Typo,misspelling,LETS_LET,let's (lets),
"<example correction=""lets|let"">It <marker>let's</marker> you quickly search for the product.</example>",It let's you quickly search for the product.,group,3,TYPOS,Possible Typo,misspelling,LETS_LET,let's (lets),
"<example correction=""lets|let"">The system <marker>let's</marker> all students enter the building.</example>",The system let's all students enter the building.,group,4,TYPOS,Possible Typo,misspelling,LETS_LET,let's (lets),
<example>Above all it's important to note they're disgusting.</example>,Above all it's important to note they're disgusting.,group,0,TYPOS,Possible Typo,misspelling,IT_IS,its vs. it's,
<example>Above all it's important to note they're disgusting.</example>,Above all it's important to note they're disgusting.,group,1,TYPOS,Possible Typo,misspelling,IT_IS,its vs. it's,
<example>Above all it's important to note they're disgusting.</example>,Above all it's important to note they're disgusting.,group,2,TYPOS,Possible Typo,misspelling,IT_IS,its vs. it's,
<example>Above all it's important to note they're disgusting.</example>,Above all it's important to note they're disgusting.,group,3,TYPOS,Possible Typo,misspelling,IT_IS,its vs. it's,
"<example correction=""its"">Due to <marker>it's</marker> nature, a cat cannot fly.</example>","Due to it's nature, a cat cannot fly.",group,4,TYPOS,Possible Typo,misspelling,IT_IS,its vs. it's,
"<example correction=""its"">Help is on <marker>it's</marker> way.</example>",Help is on it's way.,group,5,TYPOS,Possible Typo,misspelling,IT_IS,its vs. it's,
"<example correction=""It's|It is""><marker>Its</marker> where people walk around.</example>",Its where people walk around.,group,6,TYPOS,Possible Typo,misspelling,IT_IS,its vs. it's,
"<example correction=""It's|It is""><marker>Its</marker> hard to explain.</example>",Its hard to explain.,group,7,TYPOS,Possible Typo,misspelling,IT_IS,its vs. it's,
"<example correction=""It's|It is""><marker>Its</marker> removing the errors.</example>",Its removing the errors.,group,8,TYPOS,Possible Typo,misspelling,IT_IS,its vs. it's,
"<example correction=""It's|It is""><marker>Its</marker> OK.</example>",Its OK.,group,9,TYPOS,Possible Typo,misspelling,IT_IS,its vs. it's,
"<example correction=""Its"">New Robot Reproduces on <marker>It's</marker> Own.</example>",New Robot Reproduces on It's Own.,group,10,TYPOS,Possible Typo,misspelling,IT_IS,its vs. it's,
"<example correction=""its"">I can’t remember <marker>it’s</marker> name.</example>",I can’t remember it’s name.,group,11,TYPOS,Possible Typo,misspelling,IT_IS,its vs. it's,
"<example correction=""its"">RDF can also be used to express metaproperties of a thesaurus, such as <marker>it's</marker> title.</example>","RDF can also be used to express metaproperties of a thesaurus, such as it's title.",group,12,TYPOS,Possible Typo,misspelling,IT_IS,its vs. it's,
"<example correction=""its"">I would still consider assembling it from all <marker>it's</marker> basic components.</example>",I would still consider assembling it from all it's basic components.,group,13,TYPOS,Possible Typo,misspelling,IT_IS,its vs. it's,
"<example correction=""its"">We could borrow <marker>it's</marker> approach.</example>",We could borrow it's approach.,group,14,TYPOS,Possible Typo,misspelling,IT_IS,its vs. it's,
"<example correction=""its"">Linux at <marker>it's</marker> best</example>",Linux at it's best,group,15,TYPOS,Possible Typo,misspelling,IT_IS,its vs. it's,
"<example correction=""its"">When some of <marker>it's</marker> clauses match.</example>",When some of it's clauses match.,group,16,TYPOS,Possible Typo,misspelling,IT_IS,its vs. it's,
"<example correction=""its"">Don't judge a book by <marker>it's</marker> cover.</example>",Don't judge a book by it's cover.,group,17,TYPOS,Possible Typo,misspelling,IT_IS,its vs. it's,
"<example correction=""It's|It is""><marker>Its</marker> his uncle.</example>",Its his uncle.,group,18,TYPOS,Possible Typo,misspelling,IT_IS,its vs. it's,
<example>Scene from It's a Boy Girl Thing</example>,Scene from It's a Boy Girl Thing,group,19,TYPOS,Possible Typo,misspelling,IT_IS,its vs. it's,
<example>It's going to rain.</example>,It's going to rain.,group,20,TYPOS,Possible Typo,misspelling,IT_IS,its vs. it's,
<example>It's had a huge impact on me.</example>,It's had a huge impact on me.,group,21,TYPOS,Possible Typo,misspelling,IT_IS,its vs. it's,
"<example>From its too short shirt, to his eyes that moved around in its eye sockets: this was by far the creepiest mascot I have ever seen.</example>","From its too short shirt, to his eyes that moved around in its eye sockets: this was by far the creepiest mascot I have ever seen.",group,22,TYPOS,Possible Typo,misspelling,IT_IS,its vs. it's,
"<example correction=""its"">It does this by providing <marker>it's</marker> own open source based products.</example>",It does this by providing it's own open source based products.,group,23,TYPOS,Possible Typo,misspelling,IT_IS,its vs. it's,
"<example correction=""its"">This is an opportunity to see how SAP addresses <marker>it's</marker> internal developers.</example>",This is an opportunity to see how SAP addresses it's internal developers.,group,24,TYPOS,Possible Typo,misspelling,IT_IS,its vs. it's,
"<example correction=""its"">No one has ever seen <marker>it's</marker> eyes.</example>",No one has ever seen it's eyes.,group,25,TYPOS,Possible Typo,misspelling,IT_IS,its vs. it's,
"<example correction=""its"">I can see <marker>it's</marker> eyes.</example>",I can see it's eyes.,group,26,TYPOS,Possible Typo,misspelling,IT_IS,its vs. it's,
<example>It's had a huge impact on me.</example>,It's had a huge impact on me.,group,27,TYPOS,Possible Typo,misspelling,IT_IS,its vs. it's,
"<example correction=""its reddest area"">For the painting, <marker>it's reddest area</marker> was in the upper left.</example>","For the painting, it's reddest area was in the upper left.",group,28,TYPOS,Possible Typo,misspelling,IT_IS,its vs. it's,
"<example correction=""for its crazy"">No one had any remedies <marker>for it's crazy</marker> rantings.</example>",No one had any remedies for it's crazy rantings.,group,29,TYPOS,Possible Typo,misspelling,IT_IS,its vs. it's,
"<example correction=""about its happy"">The frog told a story <marker>about it's happy</marker> childhood in the river.</example>",The frog told a story about it's happy childhood in the river.,group,30,TYPOS,Possible Typo,misspelling,IT_IS,its vs. it's,
"<example correction=""to take its apple"">I wanted so badly <marker>to take it's apple</marker> and throw it through the window.</example>",I wanted so badly to take it's apple and throw it through the window.,group,31,TYPOS,Possible Typo,misspelling,IT_IS,its vs. it's,
"<example correction=""does not"">This <marker>doe snot</marker> mean that I like you.</example>",This doe snot mean that I like you.,group,32,TYPOS,Possible Typo,misspelling,IT_IS,its vs. it's,
"<example correction=""its odorless handshake"">I appreciated <marker>it's odorless handshake</marker> by the fifth time.</example>",I appreciated it's odorless handshake by the fifth time.,group,33,TYPOS,Possible Typo,misspelling,IT_IS,its vs. it's,
"<example correction=""it's"">Yes, <marker>its</marker> that simple.</example>","Yes, its that simple.",group,34,TYPOS,Possible Typo,misspelling,IT_IS,its vs. it's,
"<example correction=""Its""><marker>It's</marker> door is too small.</example>",It's door is too small.,group,35,TYPOS,Possible Typo,misspelling,IT_IS,its vs. it's,
"<example correction=""its"">Kentucky State University formally installs Brown as <marker>it's</marker> 18th president</example>",Kentucky State University formally installs Brown as it's 18th president,group,36,TYPOS,Possible Typo,misspelling,IT_IS,its vs. it's,
"<example correction=""it's"">I have decided that <marker>its</marker> time to leave.</example>",I have decided that its time to leave.,group,37,TYPOS,Possible Typo,misspelling,IT_IS,its vs. it's,
"<example correction=""We'd""><marker>Wed</marker> gone so far.</example>",Wed gone so far.,group,0,TYPOS,Possible Typo,misspelling,WED_WE_D,wed (we'd),
"<example correction=""we'd"">Really, <marker>wed</marker> better hurry!</example>","Really, wed better hurry!",group,1,TYPOS,Possible Typo,misspelling,WED_WE_D,wed (we'd),
"<example correction=""employee's|employees'"">This was the <marker>employees's</marker> decision.</example>",This was the employees's decision.,single,,TYPOS,Possible Typo,misspelling,WRONG_GENITIVE_APOSTROPHE,"wrong genitive (e.g., 'employees's' instead of 'employee's')",
,,group,0,TYPOS,Possible Typo,misspelling,WHOS,who's (whose),
"<example correction=""whose"">By <marker>who's</marker> standards?</example>",By who's standards?,group,1,TYPOS,Possible Typo,misspelling,WHOS,who's (whose),
"<example correction=""whose"">Those <marker>who's</marker> highest level of education...</example>",Those who's highest level of education...,group,2,TYPOS,Possible Typo,misspelling,WHOS,who's (whose),
